category,name,value
delta,delta,0.95
wage_fishing,exp_fishing,0.1
wage_fishing,contemplation_with_friday,0.4
nonpec_fishing,constant,-1.0
nonpec_friday,constant,-1.0
nonpec_friday,not_fishing_last_period,-1.0
nonpec_hammock,constant,2.5
nonpec_hammock,not_fishing_last_period,-1.0
shocks_sdcorr,sd_fishing,1.0
shocks_sdcorr,sd_friday,1.0
shocks_sdcorr,sd_hammock,1.0
shocks_sdcorr,corr_friday_fishing,0.0
shocks_sdcorr,corr_hammock_fishing,-0.2
shocks_sdcorr,corr_hammock_friday,0.0
lagged_choice_1_hammock,constant,1.0
meas_error,sd_fishing,1e-06
