,ppltrst,agea,dweight,pspwght,pweight,psu,stratum,weight,male,eco_friendly,income
2,5.0,68.0,0.3890577256679535,0.31575334072113037,0.370392886,164.0,88.0,0.11695279,0.0,1.0,2.0
3,6.0,54.0,0.6425939798355103,0.4724673926830292,0.370392886,562.0,24.0,0.17499857,1.0,1.0,4.0
5,3.0,65.0,1.1805793046951294,1.0113790035247803,0.370392886,459.0,71.0,0.3746076,0.0,1.0,10.0
9,5.0,41.0,1.7849587202072144,0.9975744485855103,0.370392886,113.0,25.0,0.36949447,0.0,0.0,4.0
10,2.0,57.0,0.4129530191421509,0.5500596165657043,0.370392886,311.0,63.0,0.20373817,0.0,1.0,1.0
12,6.0,50.0,0.47394660115242004,0.41117626428604126,0.370392886,170.0,90.0,0.15229677,1.0,0.0,5.0
14,1.0,58.0,0.7674980163574219,1.2803394794464111,0.370392886,544.0,72.0,0.47422862,0.0,1.0,3.0
15,6.0,28.0,0.6228077411651611,0.647780179977417,0.370392886,82.0,83.0,0.23993316,1.0,0.0,5.0
17,6.0,51.0,0.5087624788284302,0.3740677833557129,0.370392886,296.0,28.0,0.13855204,1.0,0.0,6.0
18,6.0,65.0,0.8770575523376465,0.6967888474464417,0.370392886,355.0,9.0,0.25808564,0.0,1.0,5.0
19,2.0,61.0,1.0175249576568604,0.699867308139801,0.370392886,386.0,28.0,0.25922588,0.0,1.0,2.0
21,7.0,47.0,1.6518118381500244,2.9315738677978516,0.370392886,308.0,63.0,1.0858341,1.0,0.0,6.0
25,9.0,46.0,0.648005485534668,0.36016833782196045,0.370392886,243.0,56.0,0.1334038,0.0,1.0,3.0
26,3.0,24.0,1.4409600496292114,0.7413529753684998,0.370392886,219.0,94.0,0.27459186,0.0,1.0,4.0
27,9.0,80.0,0.5348239541053772,0.40534794330596924,0.370392886,565.0,38.0,0.15013799,1.0,0.0,4.0
29,6.0,55.0,0.8977526426315308,0.4826832115650177,0.370392886,195.0,95.0,0.17878243,0.0,1.0,2.0
32,9.0,42.0,0.8669471144676208,0.7376362085342407,0.370392886,8.0,36.0,0.2732152,1.0,0.0,5.0
33,6.0,65.0,1.1259263753890991,0.7744271159172058,0.370392886,554.0,62.0,0.2868423,0.0,1.0,6.0
39,6.0,55.0,1.1397050619125366,2.224231004714966,0.370392886,339.0,3.0,0.82383937,1.0,1.0,7.0
41,6.0,23.0,0.6367111802101135,0.6494824886322021,0.370392886,579.0,33.0,0.24056369,1.0,1.0,4.0
43,7.0,59.0,1.169365406036377,0.8136860132217407,0.370392886,378.0,13.0,0.30138353,0.0,1.0,8.0
52,7.0,70.0,0.8263533115386963,1.138068675994873,0.370392886,142.0,84.0,0.42153254,1.0,1.0,2.0
54,10.0,38.0,1.1001255512237549,2.077504873275757,0.370392886,607.0,29.0,0.76949304,1.0,1.0,1.0
57,6.0,61.0,0.43334680795669556,0.8639410138130188,0.370392886,154.0,80.0,0.3199976,1.0,1.0,6.0
58,7.0,74.0,0.9068251848220825,0.6872910261154175,0.370392886,21.0,39.0,0.2545677,1.0,1.0,6.0
65,10.0,65.0,0.893642008304596,1.4122977256774902,0.370392886,135.0,77.0,0.523105,0.0,1.0,5.0
68,2.0,55.0,0.8259059190750122,1.145076870918274,0.370392886,319.0,63.0,0.42412832,0.0,0.0,7.0
70,5.0,68.0,0.7781751751899719,1.0365411043167114,0.370392886,267.0,64.0,0.38392746,0.0,0.0,3.0
71,7.0,62.0,0.5426262021064758,0.7267754673957825,0.370392886,41.0,20.0,0.26919246,0.0,1.0,1.0
72,5.0,73.0,0.5324700474739075,0.7423170804977417,0.370392886,50.0,2.0,0.27494895,0.0,1.0,4.0
76,7.0,23.0,0.4695385694503784,0.48836562037467957,0.370392886,131.0,85.0,0.18088715,1.0,0.0,2.0
79,4.0,23.0,1.6525187492370605,1.6856651306152344,0.370392886,606.0,42.0,0.62435836,1.0,1.0,7.0
83,7.0,24.0,0.44575372338294983,0.3395062983036041,0.370392886,621.0,42.0,0.12575072,0.0,0.0,2.0
85,6.0,77.0,0.5500627756118774,0.7668429017066956,0.370392886,103.0,29.0,0.28403315,0.0,1.0,4.0
87,2.0,63.0,1.1001255512237549,0.756680965423584,0.370392886,119.0,29.0,0.28026924,0.0,0.0,5.0
93,7.0,49.0,1.8781542778015137,1.6294082403182983,0.370392886,138.0,85.0,0.6035212,1.0,1.0,9.0
99,8.0,38.0,0.7781155109405518,0.5131266117095947,0.370392886,168.0,88.0,0.19005844,0.0,1.0,7.0
100,6.0,31.0,0.9987674951553345,0.7607064247131348,0.370392886,41.0,48.0,0.28176025,0.0,1.0,5.0
101,10.0,25.0,0.8892929553985596,0.5820934772491455,0.370392886,314.0,61.0,0.21560328,0.0,1.0,7.0
104,5.0,69.0,0.45341262221336365,0.36089321970939636,0.370392886,601.0,39.0,0.13367228,0.0,1.0,3.0
106,5.0,65.0,1.2710959911346436,0.8414992094039917,0.370392886,443.0,52.0,0.31168532,0.0,1.0,6.0
109,7.0,57.0,0.41317662596702576,0.652977705001831,0.370392886,144.0,84.0,0.2418583,0.0,1.0,2.0
110,8.0,48.0,2.325578212738037,1.2997143268585205,0.370392886,219.0,44.0,0.48140493,0.0,0.0,4.0
114,5.0,65.0,1.02347993850708,0.6451886296272278,0.370392886,413.0,50.0,0.23897327,1.0,1.0,5.0
115,7.0,19.0,1.760422945022583,1.5432536602020264,0.370392886,263.0,54.0,0.57161015,1.0,0.0,8.0
121,4.0,77.0,0.9868556261062622,1.6462713479995728,0.370392886,528.0,69.0,0.6097672,0.0,1.0,3.0
122,8.0,34.0,1.1805791854858398,1.2961466312408447,0.370392886,521.0,71.0,0.4800835,1.0,0.0,6.0
125,8.0,54.0,2.2794101238250732,1.9357991218566895,0.370392886,339.0,3.0,0.7170062,1.0,1.0,10.0
126,7.0,26.0,0.5341648459434509,1.5528053045272827,0.370392886,271.0,35.0,0.57514805,1.0,1.0,2.0
129,9.0,25.0,1.0848501920700073,0.7140160202980042,0.370392886,280.0,17.0,0.26446646,0.0,1.0,5.0
132,9.0,75.0,0.8262370228767395,1.1379085779190063,0.370392886,146.0,86.0,0.42147323,1.0,0.0,4.0
134,5.0,48.0,1.1784298419952393,2.225377082824707,0.370392886,304.0,26.0,0.8242638,1.0,1.0,2.0
135,1.0,69.0,0.5324700474739075,0.36623984575271606,0.370392886,308.0,2.0,0.13565263,0.0,0.0,1.0
136,6.0,47.0,1.0092835426330566,0.8571383357048035,0.370392886,340.0,4.0,0.31747794,1.0,1.0,6.0
139,2.0,67.0,0.8932073712348938,0.7286241054534912,0.370392886,556.0,75.0,0.2698772,1.0,1.0,7.0
141,5.0,22.0,0.8262370228767395,0.6416619420051575,0.370392886,114.0,86.0,0.23766702,0.0,0.0,6.0
144,2.0,58.0,1.3404629230499268,2.1184463500976562,0.370392886,133.0,77.0,0.7846575,0.0,1.0,6.0
148,2.0,76.0,1.055348515510559,0.6911919116973877,0.370392886,366.0,10.0,0.25601256,1.0,0.0,7.0
151,3.0,59.0,1.296010971069336,1.7263058423995972,0.370392886,246.0,56.0,0.6394114,0.0,1.0,6.0
152,3.0,52.0,0.4262710213661194,0.5287628769874573,0.370392886,275.0,58.0,0.19585001,0.0,1.0,2.0
153,7.0,26.0,0.9068251848220825,0.690679132938385,0.370392886,611.0,39.0,0.25582263,0.0,1.0,4.0
155,4.0,30.0,0.8102303147315979,1.806461215019226,0.370392886,573.0,30.0,0.6691004,0.0,1.0,5.0
164,7.0,61.0,1.190704584121704,1.0986067056655884,0.370392886,424.0,70.0,0.4069161,1.0,1.0,7.0
165,2.0,68.0,0.8259059190750122,0.5379511713981628,0.370392886,308.0,63.0,0.19925329,1.0,0.0,4.0
167,5.0,56.0,0.5723913311958313,0.4338204562664032,0.370392886,31.0,32.0,0.160684,1.0,0.0,7.0
168,5.0,60.0,1.2294719219207764,2.3994193077087402,0.370392886,326.0,5.0,0.88872784,1.0,1.0,8.0
169,5.0,24.0,0.8102302551269531,0.617107629776001,0.370392886,614.0,30.0,0.22857228,0.0,1.0,4.0
170,2.0,75.0,0.8259059190750122,1.1001192331314087,0.370392886,319.0,63.0,0.40747634,0.0,1.0,3.0
171,6.0,61.0,0.7674981355667114,0.6260783076286316,0.370392886,549.0,72.0,0.23189496,1.0,1.0,6.0
172,8.0,58.0,1.2411673069000244,2.0970826148986816,0.370392886,436.0,18.0,0.7767445,1.0,1.0,9.0
174,8.0,34.0,0.8892930150032043,0.5820934772491455,0.370392886,288.0,61.0,0.21560328,0.0,1.0,5.0
175,6.0,25.0,0.41317662596702576,0.3208761215209961,0.370392886,128.0,84.0,0.11885023,0.0,0.0,2.0
178,9.0,29.0,1.205931305885315,2.32342267036438,0.370392886,450.0,23.0,0.86057925,0.0,1.0,3.0
179,5.0,76.0,0.687493085861206,0.4502679109573364,0.370392886,452.0,53.0,0.16677603,1.0,0.0,4.0
184,8.0,75.0,0.8263532519340515,1.138068675994873,0.370392886,144.0,84.0,0.42153254,1.0,1.0,3.0
185,5.0,42.0,0.5143495798110962,0.4376309812068939,0.370392886,619.0,31.0,0.1620954,1.0,0.0,2.0
187,3.0,56.0,0.5087624788284302,0.3499336540699005,0.370392886,468.0,28.0,0.12961294,0.0,1.0,4.0
190,7.0,47.0,0.51173996925354,0.27527758479118347,0.370392886,386.0,50.0,0.10196086,0.0,1.0,2.0
194,9.0,25.0,0.51173996925354,0.324184387922287,0.370392886,413.0,50.0,0.12007559,0.0,0.0,2.0
196,7.0,62.0,0.852541983127594,0.5831711292266846,0.370392886,306.0,58.0,0.21600243,0.0,1.0,3.0
197,5.0,52.0,1.3680397272109985,0.7603707909584045,0.370392886,264.0,66.0,0.28163594,0.0,1.0,6.0
204,2.0,36.0,1.0848501920700073,0.6062991619110107,0.370392886,502.0,17.0,0.2245689,0.0,1.0,6.0
205,2.0,37.0,1.0683296918869019,0.5970659852027893,0.370392886,505.0,35.0,0.221149,0.0,1.0,7.0
207,7.0,64.0,0.9336193203926086,0.7075984477996826,0.370392886,592.0,41.0,0.26208943,1.0,1.0,5.0
208,6.0,53.0,0.9257978796958923,0.7877089977264404,0.370392886,590.0,43.0,0.29176182,1.0,0.0,5.0
215,5.0,44.0,1.8684228658676147,1.620965600013733,0.370392886,61.0,83.0,0.6003941,1.0,0.0,8.0
216,4.0,75.0,0.49938371777534485,0.3784874677658081,0.370392886,585.0,48.0,0.14018907,1.0,0.0,2.0
217,6.0,70.0,0.8770575523376465,0.6967888474464417,0.370392886,354.0,9.0,0.25808564,0.0,1.0,6.0
218,5.0,37.0,0.778115451335907,1.6384674310684204,0.370392886,164.0,88.0,0.6068767,1.0,1.0,6.0
220,8.0,22.0,1.8718838691711426,2.917245388031006,0.370392886,366.0,8.0,1.080527,0.0,0.0,1.0
221,8.0,29.0,1.296010971069336,0.8483141660690308,0.370392886,236.0,56.0,0.31420952,0.0,0.0,3.0
222,8.0,56.0,2.059441328048706,1.4087364673614502,0.370392886,317.0,64.0,0.521786,0.0,1.0,3.0
227,4.0,30.0,0.8452499508857727,0.7409782409667969,0.370392886,283.0,57.0,0.27445307,1.0,0.0,6.0
230,8.0,20.0,0.893642008304596,0.6940091252326965,0.370392886,112.0,77.0,0.25705606,0.0,1.0,5.0
233,9.0,26.0,0.46499037742614746,0.4743172228336334,0.370392886,629.0,47.0,0.17568372,1.0,1.0,2.0
235,6.0,72.0,0.5087624788284302,0.3499336540699005,0.370392886,525.0,28.0,0.12961294,0.0,1.0,3.0
238,6.0,83.0,0.9068251848220825,0.6872910261154175,0.370392886,21.0,39.0,0.2545677,1.0,1.0,6.0
240,5.0,55.0,0.9918288588523865,0.7879699468612671,0.370392886,356.0,11.0,0.29185846,0.0,0.0,2.0
241,2.0,65.0,1.1397050619125366,1.835224986076355,0.370392886,339.0,3.0,0.67975426,0.0,1.0,8.0
251,7.0,74.0,0.778115451335907,0.6315066814422607,0.370392886,162.0,88.0,0.23390558,0.0,0.0,5.0
252,6.0,50.0,1.374986171722412,2.4537413120269775,0.370392886,532.0,53.0,0.90884835,1.0,0.0,9.0
